goos: darwin
goarch: arm64
pkg: github.com/robby031/concurrent-map
cpu: Apple M4
BenchmarkMultiInsertDifferent_1_Shard-10      	  799306	      1798 ns/op	     387 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_1_Shard-10      	  797598	      1808 ns/op	     387 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_1_Shard-10      	  813630	      1829 ns/op	     392 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_1_Shard-10      	  783698	      1802 ns/op	     387 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_1_Shard-10      	  803840	      1800 ns/op	     386 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_1_Shard-10      	  819620	      1807 ns/op	     384 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_1_Shard-10      	  791796	      1798 ns/op	     387 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_16_Shard-10     	 2801812	       416.3 ns/op	     368 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_16_Shard-10     	 2733936	       435.5 ns/op	     369 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_16_Shard-10     	 2793874	       444.2 ns/op	     368 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_16_Shard-10     	 2784520	       430.6 ns/op	     368 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_16_Shard-10     	 2791930	       414.6 ns/op	     368 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_16_Shard-10     	 2799907	       431.2 ns/op	     367 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_16_Shard-10     	 2805744	       433.6 ns/op	     368 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_16_Shard-10     	 2810905	       434.6 ns/op	     367 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_16_Shard-10     	 2812795	       419.2 ns/op	     367 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_16_Shard-10     	 2798125	       429.9 ns/op	     368 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_32_Shard-10     	 3108160	       380.9 ns/op	     360 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_32_Shard-10     	 3075752	       390.3 ns/op	     360 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_32_Shard-10     	 3084073	       388.3 ns/op	     360 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_32_Shard-10     	 3125064	       386.9 ns/op	     359 B/op	      13 allocs/op
BenchmarkMultiInsertDifferent_32_Shard-10     	 3092926	       389.3 ns/op	     360 B/op	      13 allocs/op
